FECHA,CONCURSO,N1,N2,N3,N4,N5,N6,BONO,BOLSA
10/04/2026,4198,5,8,25,27,30,38,52,30000000
08/04/2026,4197,9,25,38,40,51,52,39,149600000
05/04/2026,4196,5,6,14,26,42,44,11,146900000
03/04/2026,4195,10,11,20,37,46,50,40,142400000
01/04/2026,4194,4,15,19,25,29,33,53,138800000
29/03/2026,4193,5,6,9,27,44,49,50,136600000
27/03/2026,4192,8,24,29,33,41,50,23,132600000
25/03/2026,4191,5,9,15,28,36,56,3,129000000
22/03/2026,4190,7,20,23,27,37,39,55,126200000
20/03/2026,4189,1,5,28,29,45,52,54,122300000
18/03/2026,4188,25,38,48,49,52,56,5,117700000
15/03/2026,4187,14,15,24,29,37,48,42,114400000
13/03/2026,4186,11,13,30,40,48,49,24,110200000
11/03/2026,4185,9,22,26,36,42,50,48,106000000
08/03/2026,4184,22,25,31,38,41,43,56,102700000
06/03/2026,4183,6,14,24,29,43,52,22,98800000
04/03/2026,4182,2,6,15,21,22,32,40,95000000
01/03/2026,4181,11,17,19,31,41,55,22,91000000
27/02/2026,4180,13,23,30,33,42,44,38,86900000
25/02/2026,4179,8,16,33,41,48,49,1,82800000
22/02/2026,4178,5,23,24,26,47,50,51,79900000
20/02/2026,4177,2,9,22,30,47,50,14,75700000
18/02/2026,4176,21,43,47,48,54,56,3,70800000
15/02/2026,4175,2,3,5,9,33,53,43,68000000
13/02/2026,4174,13,17,22,25,27,32,1,64300000
11/02/2026,4173,1,4,14,38,41,44,49,60000000
08/02/2026,4172,3,11,15,24,41,48,20,56800000
06/02/2026,4171,8,10,31,35,43,45,32,52300000
04/02/2026,4170,25,26,32,37,49,54,13,47900000
01/02/2026,4169,4,18,26,40,45,54,24,44500000
30/01/2026,4168,13,14,39,41,42,51,10,40100000
28/01/2026,4167,4,6,14,22,32,56,25,36100000
25/01/2026,4166,4,8,15,29,35,41,11,33000000
23/01/2026,4165,19,21,25,32,33,55,45,30600000
21/01/2026,4164,2,7,13,32,36,56,11,30500000
18/01/2026,4163,6,32,33,41,50,51,55,30400000
16/01/2026,4162,11,22,30,36,38,40,51,30300000
14/01/2026,4161,1,14,19,24,31,54,28,30200000
11/01/2026,4160,12,18,32,40,43,55,54,30100000
09/01/2026,4159,2,20,21,39,41,51,55,30000000
07/01/2026,4158,1,26,30,35,45,54,28,30100000
04/01/2026,4157,13,22,31,32,42,53,48,30000000
02/01/2026,4156,11,25,33,39,45,50,9,272300000
31/12/2025,4155,5,16,33,38,43,53,10,266500000
28/12/2025,4154,12,29,32,43,48,50,1,262200000
26/12/2025,4153,2,22,35,49,52,56,4,256900000
24/12/2025,4152,2,22,29,31,39,47,44,250700000
21/12/2025,4151,1,4,27,32,39,48,11,247000000
19/12/2025,4150,3,24,28,36,47,53,37,243200000
17/12/2025,4149,2,4,11,19,43,50,47,238600000
14/12/2025,4148,4,7,17,18,33,43,45,235700000
12/12/2025,4147,4,9,24,39,44,48,1,231100000
