FECHA,CONCURSO,N1,N2,N3,N4,N5,N6,BOLSA
14/06/2026,4226,5,10,13,30,43,45,64000000
12/06/2026,4225,8,17,25,47,49,53,62200000
10/06/2026,4224,4,13,28,29,43,53,60100000
07/06/2026,4223,1,3,11,20,27,30,58500000
05/06/2026,4222,3,18,24,32,40,47,56100000
03/06/2026,4221,3,7,18,30,33,56,53900000
31/05/2026,4220,3,6,7,8,51,54,51900000
29/05/2026,4219,3,33,41,44,47,54,50000000
27/05/2026,4218,4,12,13,17,22,50,47900000
24/05/2026,4217,8,16,17,22,28,46,46200000
22/05/2026,4216,7,8,13,36,43,48,44200000
20/05/2026,4215,16,32,36,39,44,55,42000000
17/05/2026,4214,6,8,32,34,41,48,40100000
15/05/2026,4213,25,33,40,45,51,56,38100000
13/05/2026,4212,18,25,27,40,42,51,36000000
10/05/2026,4211,10,21,22,34,40,45,34500000
08/05/2026,4210,5,19,22,23,29,49,32300000
06/05/2026,4209,3,6,24,25,38,53,30100000
03/05/2026,4208,26,34,40,41,47,56,28500000
01/05/2026,4207,5,6,8,10,28,45,26500000
29/04/2026,4206,6,26,36,38,39,49,24500000
26/04/2026,4205,12,31,42,44,46,50,22900000
24/04/2026,4204,7,12,14,17,30,33,21200000
22/04/2026,4203,6,9,12,34,47,49,19000000
19/04/2026,4202,3,5,28,37,47,55,17500000
17/04/2026,4201,8,19,28,33,34,44,15400000
15/04/2026,4200,10,25,30,35,38,48,13200000
12/04/2026,4199,1,3,8,12,14,36,11500000
10/04/2026,4198,4,5,20,38,52,55,10400000
08/04/2026,4197,3,11,26,34,38,49,10300000
05/04/2026,4196,4,11,15,30,43,54,10200000
03/04/2026,4195,1,25,27,44,52,53,10100000
01/04/2026,4194,21,32,44,45,53,54,10000000
29/03/2026,4193,10,12,19,20,34,44,240000000
27/03/2026,4192,2,3,10,22,31,47,237600000
25/03/2026,4191,2,7,9,15,22,43,235200000
22/03/2026,4190,3,8,15,22,28,53,233400000
20/03/2026,4189,13,25,27,31,45,53,231200000
18/03/2026,4188,15,17,36,39,48,51,228900000
15/03/2026,4187,1,9,14,22,41,56,227000000
13/03/2026,4186,16,31,32,36,45,49,224800000
11/03/2026,4185,5,7,8,43,46,54,222300000
08/03/2026,4184,18,22,25,42,45,52,220300000
06/03/2026,4183,11,15,37,40,53,56,218000000
04/03/2026,4182,7,27,30,33,50,56,215900000
01/03/2026,4181,18,32,34,40,45,51,213600000
27/02/2026,4180,4,6,10,24,25,35,211300000
25/02/2026,4179,6,17,20,27,47,51,208900000
22/02/2026,4178,4,5,9,10,17,33,207200000
20/02/2026,4177,6,9,18,22,25,39,204900000
18/02/2026,4176,1,10,12,48,49,50,202300000
15/02/2026,4175,4,36,38,42,44,48,200300000
13/02/2026,4174,6,9,14,20,28,37,197800000
11/02/2026,4173,10,18,31,39,53,55,195500000
08/02/2026,4172,28,29,30,38,43,50,193400000
06/02/2026,4171,9,17,21,25,28,29,191000000
04/02/2026,4170,1,4,5,13,43,47,188700000
01/02/2026,4169,3,13,29,33,35,50,186200000
30/01/2026,4168,6,13,40,43,45,54,184000000
28/01/2026,4167,8,19,35,48,51,54,182100000
25/01/2026,4166,12,18,20,26,38,51,180000000
23/01/2026,4165,9,13,18,21,37,46,177700000
21/01/2026,4164,4,22,26,30,35,53,175400000
18/01/2026,4163,23,32,35,40,48,54,173200000
16/01/2026,4162,31,37,42,45,54,55,170600000
14/01/2026,4161,7,10,15,20,40,45,168300000
11/01/2026,4160,14,15,16,18,36,50,166400000
09/01/2026,4159,9,18,25,32,50,52,163900000
07/01/2026,4158,1,16,20,23,25,34,161700000
04/01/2026,4157,8,10,27,41,47,50,159800000
02/01/2026,4156,8,24,32,42,43,54,156800000
31/12/2025,4155,5,16,27,44,45,49,153700000
28/12/2025,4154,15,29,33,35,43,46,151500000
26/12/2025,4153,14,16,32,48,51,55,148700000
24/12/2025,4152,3,5,14,48,54,55,145300000
21/12/2025,4151,13,17,23,24,30,43,143500000
19/12/2025,4150,9,11,22,28,33,47,141400000
17/12/2025,4149,2,31,34,45,46,56,138700000
14/12/2025,4148,16,39,47,48,51,56,136700000
12/12/2025,4147,7,13,19,23,35,48,134000000
